Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua y Barbuda,4629.053411,5423.963043,6465.807555,7187.495431,7590.343332,7956.006869,8153.277804,8624.168407,9351.044266,9033.932376,9755.66154,10335.84215,10906.52051,11341.93271,12021.46321,11535.77429,11657.34875,12171.37738,13036.00759,14366.29128,16172.25135,18203.51513,18785.46822,16471.36783,15216.30984,14841.97096,15208.65697,15050.71228,15533.48313,16080.65805,16557.84317,16924.78945,18273.42707,18884.37297,15360.45442,17340.37907,20117.76533,21787.10173
Australia,11392.00439,11651.33012,14284.96079,17834.45269,18249.30145,18859.90746,18624.18773,17699.87649,18129.63531,20448.12197,22021.78391,23646.62305,21479.1142,20712.66978,21870.41597,19695.72974,20301.84317,23718.13385,30836.73068,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52144.66547,62605.60046,68072.87323,68190.701,62544.08738,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
Austria,13031.8281,16328.5613,17509.76587,17400.52266,21596.06822,22323.13125,24782.71188,23987.20372,25546.24605,30207.06743,29645.94513,26571.75236,27212.46429,27078.70816,24487.29747,24430.49598,26334.86222,32110.11597,36614.25065,38157.37023,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Azerbaiyán,,,,,1238.271893,734.9442328,60.23512054,209.5309545,157.0635499,314.5580191,409.1855438,505.5162042,561.9068079,573.8935287,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7125.908584
Burundi,234.2812448,215.6083115,201.7404008,203.5789442,202.6294462,204.6682584,184.8689705,165.3441203,161.8925843,164.9153117,143.1567412,160.278342,144.4569483,127.5141958,134.5378618,132.1595545,120.9523086,111.4066828,125.1949652,147.2346193,161.8927556,166.1627449,189.5020746,199.097633,216.7277053,230.0705774,231.6884964,234.8430454,250.5404811,280.9668313,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399,214.0914554,250.6342254,193.0071456
Bélgica,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Benin,285.7715511,324.2537652,326.1797577,293.3219496,371.1016043,364.689296,301.773297,387.3100548,262.1298074,348.4352389,369.3943841,344.5504915,361.6019831,525.1305972,487.4241414,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442545,1059.413589,1071.525836,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1197.501364,1318.834978,1264.70766,1394.373302
Burkina Faso,247.4591346,280.2180922,301.1292147,293.1887037,338.5937591,333.7060551,348.5924439,324.1115767,187.2114237,229.0922945,242.7331714,223.8539585,249.5317329,292.8369587,248.9085269,259.4852234,285.6540876,362.3739,403.8128374,441.164148,455.5136556,514.6844512,619.4375333,601.5695207,624.9572522,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101
Bangladesh,212.1489939,231.4995845,247.901466,263.0057208,283.0537371,272.0649485,273.4650725,280.7572745,280.6030318,309.4586808,371.9179377,379.2849177,385.6168818,388.0956843,396.6707302,394.65641,393.8864223,426.7488075,455.6140169,480.0858508,490.3880265,537.9554928,613.062041,679.2114774,757.3852804,837.3369447,859.6805364,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485927,2551.017727
Bulgaria,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.525114,1148.494399,2259.259226,1470.192593,1361.409384,1820.448664,1659.718611,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9436.144799,9838.60059,10198.53883,12274.0776,13644.20158,15885.53913
